Items,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30
Cash and Short Term Investments,90979000000.0,100580000000.0,66301000000.0,74181000000.0,67155000000,41601000000.0,25077000000.0,40546000000.0,29129000000.0,25952000000.0
Receivables,37445000000.0,45804000000.0,48995000000.0,35673000000.0,29299000000,30343000000.0,27219000000.0,20641000000.0,18692000000.0,11717000000.0
Inventory,3934000000.0,3817000000.0,4784000000.0,2132000000.0,2349000000,2349000000.0,2111000000.0,1764000000.0,791000000.0,776000000.0
Other current assets,11228000000.0,12329000000.0,12087000000.0,13936000000.0,8283000000,15085000000.0,9806000000.0,6882000000.0,6458000000.0,4529000000.0
Total current assets,143713000000.0,162819000000.0,131339000000.0,128645000000.0,106869000000,89378000000.0,68531000000.0,73286000000.0,57653000000.0,44988000000.0
"Property, Plant, Equpment (Net)",45336000000.0,37378000000.0,41304000000.0,33783000000.0,27010000000,22471000000.0,20624000000.0,16597000000.0,15452000000.0,7777000000.0
Long-Term Investments,102624000000.0,106698000000.0,170799000000.0,194714000000.0,170430000000,164065000000.0,130162000000.0,106215000000.0,92122000000.0,55618000000.0
Goodwill and Intangible Assets (Total),,,,8015000000.0,8620000000,9009000000.0,8758000000.0,5756000000.0,5359000000.0,4432000000.0
Long-term assets (Other),32215000000.0,31621000000.0,22283000000.0,10162000000.0,8757000000,5422000000.0,3764000000.0,5146000000.0,5478000000.0,3556000000.0
Total non-current assets,180175000000.0,175697000000.0,234386000000.0,246674000000.0,214817000000,200967000000.0,163308000000.0,133714000000.0,118411000000.0,71383000000.0
Total Assets,323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000,290345000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0
Accounts Payable,38234000000.0,44313000000.0,65063000000.0,58667000000.0,39085000000,35490000000.0,30196000000.0,22367000000.0,21175000000.0,14632000000.0
Accrued Expenses,,,,,22027000000,25181000000.0,18453000000.0,13856000000.0,11414000000.0,9247000000.0
Current Part of Debt,15229000000.0,16240000000.0,20748000000.0,18473000000.0,11605000000,10999000000.0,6308000000.0,,,
Current Revenue (Deferred),6643000000.0,5522000000.0,5966000000.0,7548000000.0,8080000000,8940000000.0,8491000000.0,7435000000.0,5953000000.0,4091000000.0
Other current liabilities,47867000000.0,43242000000.0,40230000000.0,33292000000.0,30107000000,,,,,
Total current liabilities,105392000000.0,105718000000.0,116866000000.0,100814000000.0,79006000000,80610000000.0,63448000000.0,43658000000.0,38542000000.0,27970000000.0
Long Term Debt (Total),107049000000.0,91807000000.0,93735000000.0,97207000000.0,75427000000,53329000000.0,28987000000.0,16960000000.0,,
Non-current Revenue (Deferred),,,2797000000.0,2836000000.0,2930000000,3624000000.0,3031000000.0,2625000000.0,2648000000.0,1686000000.0
Long Term Tax Liability (Deferred),-215000000.0,16579000000.0,-21070000000.0,45877000000.0,39657000000,,,,,
Non-current Liabilities (Other),46108000000.0,33584000000.0,33660000000.0,504000000.0,1355000000,33427000000.0,24826000000.0,20208000000.0,16664000000.0,10100000000.0
Total non-current liabilities,153157000000.0,142310000000.0,142649000000.0,140458000000.0,114431000000,90380000000.0,56844000000.0,39793000000.0,19312000000.0,11786000000.0
Total liabilities,258549000000.0,248028000000.0,258578000000.0,241272000000.0,193437000000,170990000000.0,120292000000.0,83451000000.0,57854000000.0,39756000000.0
Common Stock (Net),50779000000.0,45174000000.0,40201000000.0,35867000000.0,31251000000,27416000000.0,23313000000.0,19764000000.0,16422000000.0,13331000000.0
Retained Earnings,14966000000.0,45898000000.0,70400000000.0,98330000000.0,96364000000,92284000000.0,87152000000.0,104256000000.0,101289000000.0,62841000000.0
Common Equity (Total),65339000000.0,90488000000.0,107147000000.0,134047000000.0,128249000000,119355000000.0,111547000000.0,123549000000.0,118210000000.0,76615000000.0
Shareholders Equity (Total),65339000000.0,90488000000.0,107147000000.0,134047000000.0,128249000000,119355000000.0,111547000000.0,123549000000.0,118210000000.0,76615000000.0
Shareholders Equity and Liabilities (Total),323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000,290345000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0
Shares (Common),16976760000.0,17772950000.0,19019940000.0,20504800000.0,21344660000,22315010000.0,23464640000.0,25177980000.0,26297820000.0,26019760000.0
Shareholders Equity (Tangible),65339000000.0,90488000000.0,107147000000.0,134047000000.0,119629000000,110346000000.0,102789000000.0,117793000000.0,112851000000.0,72183000000.0
Net Debt,31299000000.0,7467000000.0,48182000000.0,41499000000.0,19877000000,22727000000.0,10218000000.0,-23586000000.0,-29129000000.0,-25952000000.0
Total Debt,122278000000.0,108047000000.0,114483000000.0,115680000000.0,87032000000,64328000000.0,35295000000.0,16960000000.0,,
