Items,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30
Net Income,57411000000.0,55256000000.0,59531000000.0,48351000000.0,45687000000.0,53394000000.0,39510000000.0,37037000000.0,41733000000.0,25922000000.0
Depreciation & Amortization,11056000000.0,12547000000.0,10903000000.0,10157000000.0,10505000000.0,11257000000.0,7946000000.0,6757000000.0,3277000000.0,1814000000.0
Non Cash Items (Other),6517000000.0,5076000000.0,-27694000000.0,10640000000.0,9634000000.0,5353000000.0,5210000000.0,3394000000.0,6145000000.0,4036000000.0
Accounts Receivable Change,8470000000.0,3176000000.0,-13332000000.0,-6347000000.0,1044000000.0,417000000.0,-4232000000.0,-2172000000.0,-5551000000.0,143000000.0
Change in inventories,3934000000.0,3817000000.0,4784000000.0,2132000000.0,2349000000.0,-238000000.0,-76000000.0,-973000000.0,-15000000.0,275000000.0
Accounts Payable Change,-4062000000.0,-1923000000.0,9175000000.0,8966000000.0,2117000000.0,5001000000.0,5938000000.0,2340000000.0,4467000000.0,2515000000.0
Change in payables and accrued liability,38234000000.0,44313000000.0,65063000000.0,58667000000.0,39085000000.0,,,,,
Change in other assets and liabilities,1194000000.0,-4792000000.0,5433000000.0,-132000000.0,2370000000.0,6082000000.0,5417000000.0,7283000000.0,800000000.0,2824000000.0
Operating Cash Flow,80674000000.0,69391000000.0,77434000000.0,63598000000.0,65824000000.0,81266000000.0,59713000000.0,53666000000.0,50856000000.0,37529000000.0
Capital expenditures,-7309000000.0,-10495000000.0,-13313000000.0,-12451000000.0,-12734000000.0,-11247000000.0,-9571000000.0,-8165000000.0,-8295000000.0,-4260000000.0
Change in intangibles (net),,,,,-297000000.0,-241000000.0,-242000000.0,-911000000.0,-1107000000.0,-3192000000.0
Net Aquisitions,-1524000000.0,-624000000.0,-721000000.0,-329000000.0,-297000000.0,-343000000.0,-3765000000.0,-496000000.0,-350000000.0,-244000000.0
Short Term Investments Change (Net),5453000000.0,57460000000.0,32363000000.0,-33147000000.0,-30634000000.0,-44417000000.0,-9017000000.0,-24042000000.0,-38427000000.0,-32464000000.0
Long-Term Investments Change (Net),-118000000.0,633000000.0,-1518000000.0,-395000000.0,-1388000000.0,,-10000000.0,,,
Other investing activities,-4551000000.0,-4000000000.0,-3272000000.0,-1422000000.0,-2661000000.0,-26000000.0,26000000.0,-160000000.0,-48000000.0,-259000000.0
Investing cash flow,-4289000000.0,45896000000.0,16066000000.0,-46446000000.0,-45977000000.0,-56274000000.0,-22579000000.0,-33774000000.0,-48227000000.0,-40419000000.0
Repayment/Issuance of Debt (Net),2499000000.0,-7819000000.0,432000000.0,29014000000.0,22057000000.0,29305000000.0,18266000000.0,16896000000.0,,
"Equity Repurchase (Common, Net)",-71478000000.0,-66116000000.0,-72069000000.0,-32345000000.0,-30797000000.0,-34710000000.0,-44270000000.0,-22330000000.0,665000000.0,831000000.0
Dividends Paid (Total),-14081000000.0,-14119000000.0,-13712000000.0,-12769000000.0,-12150000000.0,-11561000000.0,-11126000000.0,-10564000000.0,-2488000000.0,
Other financial activities,2972000000.0,2494000000.0,2369000000.0,3427000000.0,3047000000.0,-750000000.0,-419000000.0,-381000000.0,125000000.0,613000000.0
Financing cash flow,-86820000000.0,-90976000000.0,-87876000000.0,-17347000000.0,-20483000000.0,-17716000000.0,-37549000000.0,-16379000000.0,-1698000000.0,1444000000.0
Change in Cash,-10435000000.0,24311000000.0,5624000000.0,-195000000.0,-636000000.0,7276000000.0,-415000000.0,3513000000.0,931000000.0,-1446000000.0
Beginning Cash,50224000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0,11261000000.0
Ending Cash,39789000000.0,50224000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0
Stock Based Compensation,6829000000.0,6068000000.0,5340000000.0,4840000000.0,4210000000.0,3586000000.0,2863000000.0,2253000000.0,1740000000.0,1168000000.0
Dividends Paid (Common),-14081000000.0,-14119000000.0,-13712000000.0,-12769000000.0,-12150000000.0,-11561000000.0,-11126000000.0,-10564000000.0,-2488000000.0,0.0
Net Cash/Marketcap,0.0158,0.0072,0.0428,0.0517,0.0321,0.0358,0.0167,-0.0535,-0.0473,-0.0736
Assets Liabilities Change (Total),5690000000.0,-3488000000.0,34694000000.0,-4923000000.0,405000000.0,11262000000.0,7047000000.0,6478000000.0,-299000000.0,5757000000.0
Investments Change (Net),5335000000.0,58093000000.0,30845000000.0,-33542000000.0,-32022000000.0,-44417000000.0,-9027000000.0,-24042000000.0,-38427000000.0,-32464000000.0
Issuance/Purchase of Shares,-71478000000.0,-66116000000.0,-72069000000.0,-32345000000.0,-30797000000.0,-34710000000.0,-44270000000.0,-22330000000.0,665000000.0,831000000.0
Capital Stock Change,-71478000000.0,-66116000000.0,-72069000000.0,-32345000000.0,-30797000000.0,-34710000000.0,-44270000000.0,-22330000000.0,665000000.0,831000000.0
