Items,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Net Income,-11873000000.0,-636000000.0,10453000000.0,8452000000.0,4892000000.0,5176000000.0,5446000000.0,4585000000.0,3900000000.0,4018000000.0
Depreciation & Amortization,2246000000.0,2271000000.0,2114000000.0,2047000000.0,1910000000.0,1833000000.0,1906000000.0,1844000000.0,1811000000.0,1675000000.0
Non Cash Items (Other),8620000000.0,548000000.0,464000000.0,589000000.0,651000000.0,559000000.0,609000000.0,672000000.0,917000000.0,465000000.0
Accounts Receivable Change,2001000000.0,2004000000.0,-2501000000.0,-1399000000.0,-584000000.0,-1069000000.0,-1328000000.0,-879000000.0,-27000000.0,-292000000.0
Change in inventories,69653000000.0,64968000000.0,65771000000.0,64685000000.0,46954000000.0,-1110000000.0,-4330000000.0,-5562000000.0,-5681000000.0,-10012000000.0
Accounts Payable Change,-5363000000.0,1600000000.0,2000000.0,130000000.0,622000000.0,-238000000.0,1339000000.0,-298000000.0,1199000000.0,1164000000.0
Change in payables and accrued liability,7565000000.0,17153000000.0,12918000000.0,12332000000.0,11812000000.0,2000000.0,-1088000000.0,883000000.0,801000000.0,237000000.0
Income tax paid,-2576000000.0,-2476000000.0,-180000000.0,656000000.0,-734000000.0,477000000.0,1325000000.0,1445000000.0,1605000000.0,1262000000.0
Change in other assets and liabilities,-2985000000.0,-4360000000.0,462000000.0,-111000000.0,-1474000000.0,3733000000.0,4979000000.0,5489000000.0,2983000000.0,5506000000.0
Operating Cash Flow,-18410000000.0,-2446000000.0,15322000000.0,13346000000.0,10499000000.0,9363000000.0,8858000000.0,8179000000.0,7508000000.0,4023000000.0
Capital expenditures,-1007000000.0,-1500000000.0,-1602000000.0,-1647000000.0,-2575000000.0,-2408000000.0,-2202000000.0,-2047000000.0,-1606000000.0,-1619000000.0
Change in intangibles (net),,-127000000.0,-69000000.0,-131000000.0,0.0,0.0,,-140000000.0,-7000000.0,0.0
Net Aquisitions,,-455000000.0,-3230000000.0,-324000000.0,-297000000.0,-31000000.0,-163000000.0,-26000000.0,-124000000.0,-42000000.0
Long-Term Investments Change (Net),-17341000000.0,101000000.0,291000000.0,38000000.0,-513000000.0,554000000.0,4799000000.0,-2941000000.0,-2020000000.0,3961000000.0
Other investing activities,-191000000.0,-276000000.0,-268000000.0,-126000000.0,-115000000.0,39000000.0,33000000.0,,,69000000.0
Investing cash flow,-18366000000.0,-1523000000.0,-4586000000.0,-2058000000.0,-3380000000.0,-1846000000.0,2467000000.0,-5154000000.0,-3757000000.0,2369000000.0
Repayment/Issuance of Debt (Net),36250000000.0,13218000000.0,1365000000.0,1124000000.0,-34000000.0,861000000.0,-639000000.0,-863000000.0,-2016000000.0,-131000000.0
"Equity Repurchase (Common, Net)",36000000.0,-2593000000.0,-8919000000.0,-8925000000.0,-6680000000.0,-6352000000.0,-5658000000.0,-1704000000.0,120000000.0,114000000.0
Dividends Paid (Total),-1158000000.0,-4630000000.0,-3946000000.0,-3417000000.0,-2756000000.0,-2490000000.0,-2115000000.0,-1467000000.0,-1322000000.0,-1244000000.0
Other financial activities,8447000000.0,285000000.0,207000000.0,457000000.0,532000000.0,61000000.0,-181000000.0,-215000000.0,-259000000.0,-439000000.0
Financing cash flow,34955000000.0,5732000000.0,-11757000000.0,-11350000000.0,-9587000000.0,-7920000000.0,-8593000000.0,-4249000000.0,-3477000000.0,-1700000000.0
Exchange Rate Adjustment,85000000.0,-5000000.0,-53000000.0,80000000.0,-33000000.0,-28000000.0,-87000000.0,-29000000.0,18000000.0,-2000000.0
Discontinued Operations and Adjustments,-83000000.0,-86000000.0,-176000000.0,-74000000.0,-68000000.0,,,,,
Change in Cash,-1736000000.0,1758000000.0,-1074000000.0,18000000.0,-2501000000.0,-431000000.0,2645000000.0,-1253000000.0,292000000.0,4690000000.0
Beginning Cash,9571000000.0,7813000000.0,8887000000.0,8869000000.0,11371000000.0,11733000000.0,9088000000.0,10341000000.0,10049000000.0,5359000000.0
Ending Cash,7752000000.0,9485000000.0,7637000000.0,8813000000.0,8801000000.0,11302000000.0,11733000000.0,9088000000.0,10341000000.0,10049000000.0
Stock Based Compensation,250000000.0,212000000.0,202000000.0,202000000.0,190000000.0,189000000.0,195000000.0,206000000.0,193000000.0,186000000.0
Dividends Paid (Common),-1158000000.0,-4630000000.0,-3946000000.0,-3417000000.0,-2756000000.0,-2490000000.0,-2115000000.0,-1467000000.0,-1322000000.0,-1244000000.0
Net Cash/Marketcap,0.3197,0.1009,0.0283,0.0063,-0.0008,-0.021,-0.0425,-0.0543,-0.0553,0.0199
Assets Liabilities Change (Total),-17335000000.0,-4629000000.0,2284000000.0,2252000000.0,2922000000.0,1795000000.0,897000000.0,1078000000.0,880000000.0,-2135000000.0
Investments Change (Net),-17341000000.0,101000000.0,291000000.0,38000000.0,-513000000.0,554000000.0,4799000000.0,-2941000000.0,-2020000000.0,3961000000.0
Issuance/Purchase of Shares,36000000.0,-2593000000.0,-8919000000.0,-8925000000.0,-6680000000.0,-6352000000.0,-5658000000.0,-1704000000.0,120000000.0,114000000.0
Capital Stock Change,36000000.0,-2593000000.0,-8919000000.0,-8925000000.0,-6680000000.0,-6352000000.0,-5658000000.0,-1704000000.0,120000000.0,114000000.0
