Items,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,58161000000.0,76559000000.0,101127000000.0,94005000000.0,94571000000.0,96114000000.0,90762000000.0,86623000000.0,81698000000.0,68735000000.0
Revenue Growth,-0.2403,-0.2429,0.0758,-0.006,-0.0161,0.059,0.0478,0.0603,0.1886,0.0689
Cost of Revenue,57148000000.0,72068000000.0,81490000000.0,76612000000.0,80790000000.0,82024000000.0,76683000000.0,73193000000.0,68556000000.0,55739000000.0
Gross Profit,1013000000.0,4491000000.0,19637000000.0,17393000000.0,13781000000.0,14090000000.0,14079000000.0,13430000000.0,13142000000.0,12996000000.0
R&D Expenses,2476000000.0,3219000000.0,3269000000.0,3179000000.0,4627000000.0,3331000000.0,3047000000.0,3071000000.0,3298000000.0,3918000000.0
SG&A Expenses,4810000000.0,3208000000.0,4567000000.0,4095000000.0,3616000000.0,3525000000.0,3767000000.0,3956000000.0,3717000000.0,3408000000.0
Operating Income,-12767000000.0,-1975000000.0,11987000000.0,10344000000.0,6527000000.0,7443000000.0,7473000000.0,6562000000.0,6290000000.0,5823000000.0
Interest Expense (Operating),2156000000.0,722000000.0,475000000.0,360000000.0,306000000.0,64000000.0,69000000.0,75000000.0,109000000.0,149000000.0
Non-operating Income/Expense,7750000000.0,2007000000.0,167000000.0,138000000.0,143000000.0,-288000000.0,-336000000.0,-330000000.0,-380000000.0,-430000000.0
Non-operating Interest Expenses,2156000000.0,722000000.0,475000000.0,360000000.0,306000000.0,275000000.0,333000000.0,386000000.0,442000000.0,477000000.0
EBT,-14476000000.0,-2259000000.0,11604000000.0,10107000000.0,5568000000.0,7155000000.0,7137000000.0,6232000000.0,5910000000.0,5393000000.0
Income Tax Provision,-2535000000.0,-1623000000.0,1144000000.0,1649000000.0,673000000.0,1979000000.0,1691000000.0,1646000000.0,2007000000.0,1382000000.0
Income after Tax,-11941000000.0,-636000000.0,10460000000.0,8458000000.0,5034000000.0,5176000000.0,5446000000.0,4586000000.0,3903000000.0,4011000000.0
Dividends (Preferred),,0.0,7000000.0,6000000.0,3000000.0,4000000.0,6000000.0,7000000.0,,9000000.0
Non-Controlling Interest,-68000000.0,,,,,,,,,
Net Income Common,-11873000000.0,-636000000.0,10453000000.0,8452000000.0,4892000000.0,5172000000.0,5440000000.0,4578000000.0,3900000000.0,4009000000.0
EPS (Basic),-20.88,-1.12,17.85,13.85,7.61,7.52,7.47,6.03,5.15,5.39
EPS (Diluted),-20.88,-1.12,17.85,13.86,7.61,7.44,7.38,5.96,5.11,5.34
"Shares (Basic, Weighted)",569000000.0,565000000.0,579000000.0,603000000.0,636000000.0,686900000.0,727600000.0,758900000.0,755700000.0,744100000.0
"Shares (Diluted, Weighted)",569000000.0,565000000.0,586000000.0,610000000.0,643000000.0,695000000.0,736700000.0,767600000.0,761500000.0,750600000.0
Gross Margin,0.0174,0.0587,0.1942,0.185,0.1457,0.1466,0.1551,0.155,0.1609,0.1891
EBIT Margin,-0.2157,-0.0506,0.2334,0.1108,0.1171,0.0781,0.0831,0.0766,0.0783,0.0869
EBT margin,-0.2489,-0.0295,0.1147,0.1075,0.0589,0.0744,0.0786,0.0719,0.0723,0.0785
Net Profit Margin,-0.2041,-0.0083,0.1034,0.0899,0.0517,0.0538,0.0599,0.0528,0.0477,0.0583
Free Cash Flow Margin,-0.3338,-0.0532,0.135,0.1231,0.0838,0.0724,0.0733,0.0692,0.0722,0.035
EBITDA,-4027000000.0,335000000.0,13915000000.0,12166000000.0,7448000000.0,9340000000.0,9448000000.0,8481000000.0,8210000000.0,7647000000.0
EBIT,-12546000000.0,-3872000000.0,23602000000.0,10414000000.0,11076000000.0,7507000000.0,7542000000.0,6637000000.0,6399000000.0,5972000000.0
Income from Continuous Operations,-11941000000.0,-636000000.0,10460000000.0,8458000000.0,5034000000.0,5176000000.0,5446000000.0,4586000000.0,3903000000.0,4011000000.0
Income from Discontinued Operations,,,,,,,,-1000000.0,-3000000.0,7000000.0
Consolidated Net Income/Loss,-11941000000.0,-636000000.0,10453000000.0,8452000000.0,4892000000.0,5176000000.0,5446000000.0,4585000000.0,3900000000.0,4018000000.0
"EPS (Basic, from Continuous Ops)",-21.0007,-1.1249,18.0594,14.0382,7.9213,7.5353,7.4849,6.043,5.15,5.38
"EPS (Basic, from Discontinued Ops)",,,,,,,,-0.0013,0.0,0.01
"EPS (Basic, Consolidated)",-21.0007,-1.1249,18.0594,14.0382,7.9213,7.5353,7.4849,6.0416,5.1608,5.3998
"EPS (Diluted, from Cont. Ops)",-21.0007,-1.1249,17.8651,13.8656,7.8314,7.4475,7.3924,5.9745,5.11,5.33
"EPS (Diluted, from Disc. Ops)",,,,,,,,-0.0013,0.0,0.01
"Shares (Diluted, Average)",569000000.0,566000000.0,586200000.0,610700000.0,643800000.0,696100000.0,738000000.0,769500000.0,763800000.0,753100000.0
"EPS (Diluted, Consolidated)",-21.0007,-1.1249,17.8651,13.8656,7.8314,7.4475,7.3924,5.9732,5.1215,5.3531
EBITDA Margin,-0.0692,0.0044,0.1376,0.1294,0.0788,0.0972,0.1041,0.0979,0.1005,0.1113
Operating Cash Flow Margin,-0.3165,-0.0319,0.1515,0.142,0.111,0.0974,0.0976,0.0944,0.0919,0.0585
